Country,Average yearly temperature (1961â€“1990 Celsius)
Zimbabwe,21
Zambia,21.4
Yemen,23.85
Vietnam,24.45
Venezuela,25.35
Vanuatu,23.95
Uzbekistan,12.05
Uruguay,17.55
United States,8.55
United Kingdom,8.45
United Arab Emirates,27
Ukraine,8.3
Uganda,22.8
Tuvalu,27.65
Turkmenistan,15.1
Turkey,9.9
Tunisia,19.2
Trinidad and Tobago,25.75
Tonga,25.25
Togo,27.15
Timor-Leste,25.25
Thailand,26.3
Tanzania,22.35
Tajikistan,5.5
Syria,17.75
Switzerland,5.1
Sweden,2.1
Suriname,25.7
Sudan,26.9
Sri Lanka,26.95
Spain,13.3
South Korea,11.5
South Africa,17.75
Somalia,27.05
Solomon Islands,25.65
Slovenia,8.9
Slovakia,6.8
Singapore,26.45
Sierra Leone,26.05
Seychelles,27.15
Serbia,10.55
Senegal,27.85
Saudi Arabia,24.65
Sao Tome and Principe,23.75
San Marino,11.85
Samoa,26.7
Saint Vincent and the Grenadines,26.8
Saint Lucia,25.5
Saint Kitts and Nevis,24.5
Rwanda,17.85
Russia,-5.35
Romania,8.8
Republic of the Congo,24.55
Qatar,27.15
Portugal,15.15
Poland,7.85
Philippines,25.85
Peru,19.6
Paraguay,23.55
Papua New Guinea,25.25
Panama,25.4
Palau,27.6
Pakistan,20.2
Oman,25.6
Norway,1.5
North Macedonia,9.8
North Korea,5.7
Nigeria,27.15
Niger,27.15
Nicaragua,24.9
New Zealand,10.55
Netherlands,9.25
Nepal,8.1
Namibia,19.95
Myanmar,13.05
Mozambique,23.8
Morocco,17.1
Montenegro,10.55
Mongolia,1.55
Monaco,13.55
Moldova,9.45
Micronesia,25.85
Mexico,21
Mauritius,22.4
Mauritania,27.65
Marshall Islands,27.4
Malta,19.2
Mali,28.25
Maldives,28
Malaysia,25.4
Malawi,21.9
Madagascar,22.65
Luxembourg,8.65
Lithuania,6.2
Liechtenstein,5.65
Libya,21.8
Liberia,25.3
Lesotho,11.85
Lebanon,16.4
Latvia,5.6
Laos,22.8
Kyrgyzstan,1.75
Kuwait,25.35
Kiribati,28.2
Kenya,24.75
Kazakhstan,6.4
Jordan,18.3
Japan,11.15
Jamaica,24.95
Ivory Coast,26.35
Italy,13.45
Israel,19.2
Ireland,9.3
Iraq,21.4
Iran,17.25
Indonesia,25.85
India,23.65
Iceland,-0.7
Hungary,9.75
Hong Kong,21.45
Honduras,23.5
Haiti,24.9
Guyana,26
Guinea-Bissau,26.75
Guinea,25.7
Guatemala,23.45
Grenada,26.65
Greece,15.4
Ghana,27.2
Germany,8.4
Georgia,5.8
Gambia,27.5
Gabon,25.05
France,10.7
Finland,1.7
Fiji,24.4
Ethiopia,22.2
Eswatini,21.4
Estonia,2
Eritrea,25.5
Equatorial Guinea,24.55
El Salvador,24.45
Egypt,22.1
Ecuador,21.85
Dominican Republic,24.55
Dominica,22.35
Djibouti,28
Denmark,7.5
Democratic Republic of the Congo,24
Czech Republic,7.55
Cyprus,18.45
Cuba,25.2
Croatia,10.9
Costa Rica,24.8
Comoros,25.55
Colombia,24.5
China,6.95
Chile,8.45
Chad,26.55
Central African Republic,24.9
Cape Verde,23.3
Canada,-5.1
Cameroon,24.6
Cambodia,26.8
Burundi,19.8
Burkina Faso,28.29
Bulgaria,10.55
Brunei,26.85
Brazil,24.95
Botswana,21.5
Bosnia and Herzegovina,9.85
Bolivia,21.55
Bhutan,7.4
Benin,27.55
Belize,25.3
Belgium,9.55
Belarus,6.15
Barbados,26
Bangladesh,25
Bahrain,26.8
Bahamas,24.85
Azerbaijan,11.95
Austria,6.35
Australia,21.65
Armenia,7.15
Argentina,14.8
Antigua and Barbuda,26
Angola,21.55
Andorra,7.6
Algeria,22.5
Albania,11.4
Afghanistan,12.6
