Country,National Income Total Population
 Afghanistan,3238.8078
 Africa,7577.7
 Albania,12343.3583
 Algeria,12386.0841
 Americas,30167.6
 Angola,9250.0806
 Antigua and Barbuda,14866.258
 Argentina,24350.672
 Armenia,11901.3248
 Aruba,26353.9438
 Asia,14934.3
 Asia (excl. Middle East),13995.1
 Australia,42074.2639
 Australia and New Zealand,41519.1
 Austria,42083.5988
 Azerbaijan,13255.6919
 Bahamas,30396.2009
 Bahrain,37694.6384
 Bangladesh,6539.0043
 Barbados,11276.5717
 Belarus,15064.6231
 Belgium,41844.8853
 Belize,5785.6191
 Benin,5266.5021
 Bhutan,10597.5076
 Bolivia,9706.0739
 Bosnia and Herzegovina,12786.3687
 Botswana,17047.1978
 Brazil,14903.0625
 Brunei Darussalam,54949.2243
 Bulgaria,18604.1378
 Burkina Faso,3471.0372
 Burundi,1151.9368
 Cabo Verde,6782.232
 Cambodia,4835.0956
 Cameroon,5473.328
 Canada,39926.3468
 Caribbean,9992.3
 Central African Republic,1582.2569
 Central America,16182.4
 Central Asia,12819.1
 Chad,2653.8505
 Channel Islands,
 Chile,22826.6278
 China,18240.3559
 Colombia,13860.5157
 Comoros,4256.1922
 Congo,4256.343
 Costa Rica,18573.312
 Cote d’Ivoire,8082.3426
 Croatia,22488.1186
 Cuba,18418.4734
 Curacao,13911.1992
 Cyprus,34294.9524
 Czech Republic,28915.8796
 Czechoslovakia,
 DR Congo,1890.6427
 Denmark,49940.5363
 Djibouti,5767.0724
 Dominican Republic,20064.6822
 East Africa,4844.8
 East Asia,20102.3
 Eastern Europe,23979.2
 Ecuador,10850.4203
 Egypt,15713.9013
 El Salvador,8981.1784
 Equatorial Guinea,17936.1456
 Eritrea,2588.0957
 Estonia,29870.5559
 Ethiopia,3916.8777
 Europe,34110.4
 European Union,34515
 Fiji,12440.8367
 Finland,38519.5607
 France,37462.8726
 Gabon,17450.8696
 Gambia,3296.8011
 Georgia,11892.8287
 German Democratic Republic,
 Germany,41430.5119
 Ghana,7617.4635
 Greece,22611.4265
 Grenada,12570.2073
 Guatemala,9849.2281
 Guinea,3978.461
 Guinea-Bissau,2745.3719
 Guyana,20203.9534
 Haiti,4684.4181
 Honduras,6217.4005
 Hong Kong,48860.613
 Hungary,23878.8463
 Iceland,52014.9904
 India,8199.7556
 Indonesia,12268.4611
 Iran,14584.7866
 Iraq,11682.4923
 Ireland,54436.5806
 Israel,44725.1026
 Italy,29809.2363
 Jamaica,9193.5082
 Japan,31156.8884
 Jordan,12411.5956
 Kazakhstan,24104.9266
 Kenya,6111.3219
 Kiribati,6063.0207
 Korea,33722.1133
 Kosovo,10348.0618
 Kuwait,50051.0402
 Kyrgyzstan,5694.6423
 Lao PDR,9515.6844
 Latin America,14836.8
 Latvia,24075.861
 Lebanon,20705.4571
 Lesotho,3321.9468
 Liberia,2002.802
 Libya,16551.8416
 Lithuania,32244.685
 Luxembourg,58971.7539
 MENA,20661.8
 Macao,64719.8025
 Madagascar,2140.9933
 Malawi,2460.887
 Malaysia,26470.7018
 Maldives,12471.0388
 Mali,3936.4185
 Malta,37203.0101
 Mauritania,6552.0961
 Mauritius,19601.0164
 Mexico,17986.0741
 Micronesia,4691.6326
 Middle Africa,4290.9
 Middle East,23162.3
 Moldova,8074.0277
 Mongolia,12491.2554
 Montenegro,18230.1308
 Morocco,8229.4235
 Mozambique,1965.2159
 Myanmar,4989.9103
 Namibia,11152.6725
 Nepal,5067.1234
 Netherlands,47701.496
 New Zealand,38573.6614
 Nicaragua,6119.4136
 Niger,2323.8954
 Nigeria,8670.3442
 North Africa,12147.3
 North America,54805.1
 North America & Oceania,53504.1
 North Macedonia,12991.9355
 Norway,55381.1928
 Oceania,33219.4
 Oceania (excl. Australia and New Zealand),5804.5
 Oman,25928.832
 Other East Asia,30307.4
 Other Latin America,9746.4
 Other MENA,20400.9
 Other North America & Oceania,6041.4
 Other Russia & Central Asia,12443.4
 Other South & South-East Asia,9203.8
 Other Sub-Saharan Africa,5720.9
 Other Western Europe,41756.2
 Pakistan,6610.1743
 Palestine,8798.8079
 Panama,29018.9681
 Papua New Guinea,5714.4885
 Paraguay,14211.9888
 Peru,12046.9927
 Philippines,9934.542
 Poland,27725.3238
 Portugal,25412.8983
 Puerto Rico,21883.305
 Qatar,67915.7315
 Romania,25745.8549
 Russia & Central Asia,18378.3
 Russian Federation,23673.6134
 Rwanda,3144.3716
 Saint Lucia,10561.2583
 Saint Vincent and the Grenadines,11773.2753
 Samoa,6962.2137
 Sao Tome and Principe,6540.5576
 Saudi Arabia,51352.1911
 Senegal,4830.7066
 Serbia,14946.7467
 Seychelles,23873.1206
 Sierra Leone,2981.6887
 Singapore,67826.0332
 Slovakia,25717.0888
 Slovenia,29799.0665
 Solomon Islands,3522.1177
 Somalia,2069.0848
 South & South-East Asia,8981.2
 South Africa,14043.9
 South Africa,14445.4061
 South America,14782.5
 South Asia,8147.1
 South Sudan,1346.6812
 South-East Asia,12040
 Spain,31475.419
 Sri Lanka,13983.8858
 Sub-Saharan Africa,6315.6
 Sudan,9229.3918
 Suriname,17368.7282
 Swaziland,11018.228
 Sweden,46771.2377
 Switzerland,53605.0915
 Syrian Arab Republic,6800.7332
 Taiwan,46996.5279
 Tajikistan,6287.8154
 Tanzania,3807.421
 Thailand,13758.2814
 Timor-Leste,7590.3807
 Togo,3239.4215
 Tonga,8629.9677
 Trinidad and Tobago,22983.6148
 Tunisia,10203.9282
 Turkey,30652.3602
 Turkmenistan,17047.6583
 US Virgin Islands,36231.3618
 USA,56583.3315
 USSR,
 Uganda,3839.2626
 Ukraine,11286.4084
 United Arab Emirates,58544.2065
 United Kingdom,33275.7128
 Uruguay,22307.02
 Uzbekistan,8583
 Vanuatu,4000.9135
 Venezuela,0.9699
 Viet Nam,8226.088
 West Africa,6891.3
 West Asia,24166.8
 Western Europe,36968.3
 World,17783
 Yemen,1726.7777
 Yugoslavia,
 Zambia,5382.9805
 Zanzibar,3718.7225
 Zimbabwe,33073.5222
